"Gene"	"Correlation"	"P.value"
"FN1"	0.360477131474604	5.77228865450609e-07
"DTX3L"	0.359901869606487	6.03397985777659e-07
"COL10A1"	0.359246992445093	6.34568919025963e-07
"LEMD3"	0.359170813927304	6.38293219165457e-07
"STAMBP"	0.359060559770887	6.43720460814928e-07
"SAMD9L"	0.358640786877804	6.64790051097092e-07
"RYBP"	0.358396166272133	6.77370470152423e-07
"FKTN"	0.358190484677231	6.88124058691096e-07
"KIAA0556"	0.358162937066499	6.89576648446361e-07
"SPATA5"	0.357348202142226	7.33886773910818e-07
"CLDN16"	0.357242474509439	7.39832426423969e-07
"TAB2"	0.356069256819655	8.08973756065831e-07
"PLCXD2"	0.355587119259359	8.39140784805859e-07
"SLC6A14"	0.355423595150717	8.49614150999945e-07
"PHF3"	0.35507325733535	8.72474291693836e-07
"PACSIN2"	0.354841628195434	8.8790973924689e-07
"MBOAT1"	0.354605046265571	9.03944206159066e-07
"LRIG3"	0.354546470069394	9.07956729247208e-07
"FRMD6"	0.35447483334005	9.1288702820322e-07
"MYL12A"	0.354328164651783	9.23061152573978e-07
"DUSP18"	0.354279867949793	9.26435029171981e-07
"RPL13P5"	0.354175552044061	9.33762476017526e-07
"IBTK"	0.353857358256164	9.5645664302544e-07
"CHD2"	0.353622787444651	9.73522794098638e-07
"HMGCS1"	0.353216008842437	1.00380914629828e-06
"ELF3"	0.353138073880023	1.00971347066209e-06
"GLCE"	0.353071507967294	1.01478271276028e-06
"TAF5L"	0.353010313096854	1.01946435221127e-06
"MAPK14"	0.352559017579505	1.05463229745859e-06
"ETF1"	0.352537053978773	1.05637305799843e-06
"TOX3"	0.35248729902535	1.06032661422202e-06
"TPX2"	0.352402759824925	1.06707654534162e-06
"KIAA1429"	0.351947410064709	1.10414442616644e-06
"LATS2"	0.351837219365572	1.11329744194717e-06
"ANKRD22"	0.351602682423097	1.13302094493138e-06
"AGR2"	0.351444726032526	1.14649177296275e-06
"EIF2S1"	0.35120802806582	1.16696424993228e-06
"TRIM31"	0.350149770963472	1.26283737797837e-06
"GJB6"	0.350112726354161	1.26632592480333e-06
"CTTN"	0.350102315840883	1.2673079519601e-06
"EXOC5"	0.350092540452826	1.26823072878814e-06
"CRYBG3"	0.350014003355164	1.27566776542759e-06
"ANXA2P3"	0.349879023337649	1.28854691989957e-06
"AKAP11"	0.348931833063727	1.38247483564799e-06
"ITPRIPL2"	0.348886515280345	1.38712858806676e-06
"INTS6"	0.348697600213767	1.40668999436241e-06
"FMR1"	0.348648469533482	1.4118202184842e-06
"TTC39B"	0.348580299553594	1.41896808398277e-06
"SYNE2"	0.347638517233058	1.52131769560387e-06
"MYEOV"	0.347299672399279	1.55983489707197e-06
"SUZ12"	0.346932184449551	1.60265824606656e-06
"ZNF292"	0.3460521393688	1.7098115095356e-06
"CCNI"	0.345952480319501	1.72236748475822e-06
"HIVEP1"	0.345907204285126	1.72810076371089e-06
"SPEN"	0.345354617146184	1.79955640424066e-06
"CTNNB1"	0.345196114863	1.82056656084465e-06
"FBXO3"	0.344977493298309	1.84992958963293e-06
"ADORA2B"	0.344740277473192	1.88230023600304e-06
"TWISTNB"	0.344720096855026	1.88507886590261e-06
"F3"	0.344641144284566	1.89598728750811e-06
"RCAN3"	0.344487646424493	1.91736755021799e-06
"RNF44"	0.343827309856787	2.01199125545498e-06
"DCST1"	0.343096311224452	2.12192399409657e-06
